072140420151504201513
036AUD001       5,410226       5,426506       5,442786
124CAD001       5,671538       5,688604       5,705670
203CZK001       0,275988       0,276818       0,277648
208DKK001       1,009374       1,012411       1,015448
348HUF100       2,545709       2,553369       2,561029
392JPY100       5,969284       5,987246       6,005208
578NOK001       0,887407       0,890077       0,892747
752SEK001       0,807789       0,810220       0,812651
756CHF001       7,300609       7,322577       7,344545
826GBP001      10,448523      10,479963      10,511403
840USD001       7,140187       7,161672       7,183157
978EUR001       7,538609       7,561293       7,583977
985PLN001       1,880515       1,886174       1,891833
