164270820152808201513
036AUD001       4,777308       4,791683       4,806058
124CAD001       5,053952       5,069159       5,084366
203CZK001       0,278135       0,278972       0,279809
208DKK001       1,009205       1,012242       1,015279
348HUF100       2,394959       2,402165       2,409371
392JPY100       5,548773       5,565469       5,582165
578NOK001       0,802803       0,805219       0,807635
752SEK001       0,787468       0,789838       0,792208
756CHF001       6,996010       7,017061       7,038112
826GBP001      10,337502      10,368608      10,399714
840USD001       6,673080       6,693159       6,713238
978EUR001       7,531904       7,554568       7,577232
985PLN001       1,783543       1,788910       1,794277
