079230420152404201513
036AUD001       5,430247       5,446587       5,462927
124CAD001       5,742658       5,759938       5,777218
203CZK001       0,276035       0,276866       0,277697
208DKK001       1,012745       1,015792       1,018839
348HUF100       2,505783       2,513323       2,520863
392JPY100       5,857057       5,874681       5,892305
578NOK001       0,885598       0,888263       0,890928
752SEK001       0,805744       0,808169       0,810594
756CHF001       7,295027       7,316978       7,338929
826GBP001      10,550390      10,582136      10,613882
840USD001       7,029014       7,050164       7,071314
978EUR001       7,556189       7,578926       7,601663
985PLN001       1,884289       1,889959       1,895629
