081270420152804201513
036AUD001       5,468281       5,484735       5,501189
124CAD001       5,752461       5,769770       5,787079
203CZK001       0,276475       0,277307       0,278139
208DKK001       1,016315       1,019373       1,022431
348HUF100       2,512365       2,519925       2,527485
392JPY100       5,870486       5,888150       5,905814
578NOK001       0,898752       0,901456       0,904160
752SEK001       0,811872       0,814315       0,816758
756CHF001       7,321667       7,343698       7,365729
826GBP001      10,589831      10,621696      10,653561
840USD001       6,997987       7,019044       7,040101
978EUR001       7,582319       7,605134       7,627949
985PLN001       1,887135       1,892813       1,898491
