087060520150705201513
036AUD001       5,371936       5,388100       5,404264
124CAD001       5,597939       5,614783       5,631627
203CZK001       0,275882       0,276712       0,277542
208DKK001       1,012577       1,015624       1,018671
348HUF100       2,482844       2,490315       2,497786
392JPY100       5,624601       5,641526       5,658451
578NOK001       0,894941       0,897634       0,900327
752SEK001       0,811260       0,813701       0,816142
756CHF001       7,291632       7,313573       7,335514
826GBP001      10,231185      10,261971      10,292757
840USD001       6,739590       6,759870       6,780150
978EUR001       7,557776       7,580518       7,603260
985PLN001       1,864966       1,870578       1,876190
