086050520150605201513
036AUD001       5,350321       5,366420       5,382519
124CAD001       5,615728       5,632626       5,649524
203CZK001       0,276155       0,276986       0,277817
208DKK001       1,011576       1,014620       1,017664
348HUF100       2,505195       2,512733       2,520271
392JPY100       5,646383       5,663373       5,680363
578NOK001       0,889923       0,892601       0,895279
752SEK001       0,809410       0,811846       0,814282
756CHF001       7,267477       7,289345       7,311213
826GBP001      10,269153      10,300053      10,330953
840USD001       6,792828       6,813268       6,833708
978EUR001       7,550908       7,573629       7,596350
985PLN001       1,880674       1,886333       1,891992
