077210420152204201513
036AUD001       5,445140       5,461525       5,477910
124CAD001       5,762406       5,779745       5,797084
203CZK001       0,274758       0,275585       0,276412
208DKK001       1,010157       1,013197       1,016237
348HUF100       2,528714       2,536323       2,543932
392JPY100       5,903702       5,921466       5,939230
578NOK001       0,892159       0,894844       0,897529
752SEK001       0,809930       0,812367       0,814804
756CHF001       7,347250       7,369358       7,391466
826GBP001      10,500313      10,531909      10,563505
840USD001       7,052287       7,073508       7,094729
978EUR001       7,536075       7,558751       7,581427
985PLN001       1,891870       1,897563       1,903256
