078220420152304201513
036AUD001       5,456342       5,472760       5,489178
124CAD001       5,725969       5,743199       5,760429
203CZK001       0,274865       0,275692       0,276519
208DKK001       1,011016       1,014058       1,017100
348HUF100       2,514464       2,522030       2,529596
392JPY100       5,858036       5,875663       5,893290
578NOK001       0,894891       0,897584       0,900277
752SEK001       0,811493       0,813935       0,816377
756CHF001       7,349370       7,371484       7,393598
826GBP001      10,516371      10,548015      10,579659
840USD001       6,991097       7,012133       7,033169
978EUR001       7,543393       7,566091       7,588789
985PLN001       1,885377       1,891050       1,896723
