071130420151404201513
036AUD001       5,431027       5,447369       5,463711
124CAD001       5,674590       5,691665       5,708740
203CZK001       0,275956       0,276786       0,277616
208DKK001       1,011098       1,014140       1,017182
348HUF100       2,545925       2,553586       2,561247
392JPY100       5,931696       5,949545       5,967394
578NOK001       0,882716       0,885372       0,888028
752SEK001       0,808323       0,810755       0,813187
756CHF001       7,275368       7,297260       7,319152
826GBP001      10,455383      10,486844      10,518305
840USD001       7,162920       7,184473       7,206026
978EUR001       7,554015       7,576745       7,599475
985PLN001       1,880746       1,886405       1,892064
