092130520151405201513
036AUD001       5,389853       5,406071       5,422289
124CAD001       5,612408       5,629296       5,646184
203CZK001       0,275476       0,276305       0,277134
208DKK001       1,010886       1,013928       1,016970
348HUF100       2,470489       2,477923       2,485357
392JPY100       5,609487       5,626366       5,643245
578NOK001       0,902576       0,905292       0,908008
752SEK001       0,810839       0,813279       0,815719
756CHF001       7,245138       7,266939       7,288740
826GBP001      10,522580      10,554243      10,585906
840USD001       6,717996       6,738211       6,758426
978EUR001       7,543638       7,566337       7,589036
985PLN001       1,850972       1,856542       1,862112
