159200820152108201513
036AUD001       4,927038       4,941864       4,956690
124CAD001       5,128711       5,144143       5,159575
203CZK001       0,278855       0,279694       0,280533
208DKK001       1,009150       1,012187       1,015224
348HUF100       2,412612       2,419872       2,427132
392JPY100       5,446218       5,462606       5,478994
578NOK001       0,813702       0,816150       0,818598
752SEK001       0,793067       0,795453       0,797839
756CHF001       7,005754       7,026835       7,047916
826GBP001      10,543945      10,575672      10,607399
840USD001       6,749561       6,769871       6,790181
978EUR001       7,530486       7,553145       7,575804
985PLN001       1,796780       1,802187       1,807594
