169030920150409201513
036AUD001       4,700483       4,714627       4,728771
124CAD001       5,050677       5,065875       5,081073
203CZK001       0,278467       0,279305       0,280143
208DKK001       1,008322       1,011356       1,014390
348HUF100       2,397185       2,404398       2,411611
392JPY100       5,568303       5,585058       5,601813
578NOK001       0,810552       0,812991       0,815430
752SEK001       0,802368       0,804782       0,807196
756CHF001       6,915728       6,936538       6,957348
826GBP001      10,239494      10,270305      10,301116
840USD001       6,700805       6,720968       6,741131
978EUR001       7,525004       7,547647       7,570290
985PLN001       1,777071       1,782418       1,787765
