076200420152104201513
036AUD001       5,472095       5,488561       5,505027
124CAD001       5,755840       5,773159       5,790478
203CZK001       0,275302       0,276130       0,276958
208DKK001       1,011784       1,014828       1,017872
348HUF100       2,509795       2,517347       2,524899
392JPY100       5,908115       5,925893       5,943671
578NOK001       0,897998       0,900700       0,903402
752SEK001       0,811495       0,813937       0,816379
756CHF001       7,341901       7,363993       7,386085
826GBP001      10,486536      10,518090      10,549644
840USD001       7,022242       7,043372       7,064502
978EUR001       7,548208       7,570921       7,593634
985PLN001       1,884979       1,890651       1,896323
