011180120161901201613
036AUD001       4,833420       4,847964       4,862508
124CAD001       4,841079       4,855646       4,870213
203CZK001       0,282702       0,283553       0,284404
208DKK001       1,023419       1,026498       1,029577
348HUF100       2,422152       2,429440       2,436728
392JPY100       5,972607       5,990579       6,008551
578NOK001       0,792333       0,794717       0,797101
752SEK001       0,816874       0,819332       0,821790
756CHF001       6,978319       6,999317       7,020315
826GBP001      10,018061      10,048206      10,078351
840USD001       7,013563       7,034667       7,055771
978EUR001       7,637770       7,660752       7,683734
985PLN001       1,708674       1,713815       1,718956
