091120520151305201513
036AUD001       5,329205       5,345241       5,361277
124CAD001       5,549913       5,566613       5,583313
203CZK001       0,274913       0,275740       0,276567
208DKK001       1,009224       1,012261       1,015298
348HUF100       2,452131       2,459510       2,466889
392JPY100       5,573736       5,590508       5,607280
578NOK001       0,893225       0,895913       0,898601
752SEK001       0,807215       0,809644       0,812073
756CHF001       7,249237       7,271050       7,292863
826GBP001      10,484801      10,516350      10,547899
840USD001       6,684921       6,705036       6,725151
978EUR001       7,531232       7,553894       7,576556
985PLN001       1,837782       1,843312       1,848842
