075170420151804201513
036AUD001       5,467821       5,484274       5,500727
124CAD001       5,745769       5,763058       5,780347
203CZK001       0,274824       0,275651       0,276478
208DKK001       1,012039       1,015084       1,018129
348HUF100       2,510979       2,518535       2,526091
392JPY100       5,878631       5,896320       5,914009
578NOK001       0,901253       0,903965       0,906677
752SEK001       0,815126       0,817579       0,820032
756CHF001       7,321356       7,343386       7,365416
826GBP001      10,505794      10,537406      10,569018
840USD001       6,978939       6,999939       7,020939
978EUR001       7,550514       7,573234       7,595954
985PLN001       1,881045       1,886705       1,892365
