242141220161512201613
036AUD001       5,291131       5,307052       5,322973
124CAD001       5,379531       5,395718       5,411905
203CZK001       0,277811       0,278647       0,279483
208DKK001       1,009010       1,012046       1,015082
348HUF100       2,383724       2,390897       2,398070
392JPY100       6,129326       6,147769       6,166212
578NOK001       0,834757       0,837269       0,839781
752SEK001       0,770043       0,772360       0,774677
756CHF001       6,976283       6,997275       7,018267
826GBP001       8,924928       8,951783       8,978638
840USD001       7,051691       7,072910       7,094129
978EUR001       7,502294       7,524869       7,547444
985PLN001       1,690086       1,695172       1,700258
