098210520152205201513
036AUD001       5,316103       5,332099       5,348095
124CAD001       5,525053       5,541678       5,558303
203CZK001       0,274685       0,275512       0,276339
208DKK001       1,006428       1,009456       1,012484
348HUF100       2,449849       2,457221       2,464593
392JPY100       5,567674       5,584427       5,601180
578NOK001       0,893474       0,896162       0,898850
752SEK001       0,811171       0,813612       0,816053
756CHF001       7,222493       7,244226       7,265959
826GBP001      10,567841      10,599640      10,631439
840USD001       6,737579       6,757853       6,778127
978EUR001       7,506337       7,528924       7,551511
985PLN001       1,836638       1,842164       1,847690
