067070420150804201513
036AUD001       5,375441       5,391616       5,407791
124CAD001       5,608016       5,624891       5,641766
203CZK001       0,276844       0,277677       0,278510
208DKK001       1,016664       1,019723       1,022782
348HUF100       2,539875       2,547518       2,555161
392JPY100       5,837751       5,855317       5,872883
578NOK001       0,867908       0,870520       0,873132
752SEK001       0,811736       0,814179       0,816622
756CHF001       7,270506       7,292383       7,314260
826GBP001      10,409070      10,440391      10,471712
840USD001       6,997234       7,018289       7,039344
978EUR001       7,595498       7,618353       7,641208
985PLN001       1,870813       1,876442       1,882071
